"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"MedicinalProductDefinition-br","MedicinalProductDefinition.pediatricUseIndicator","MedicinalProductDefinition.pediatricUseIndicator","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","If authorised for use in children","If authorised for use in children, or infants, neonates etc.","","","","","","","","","",,"example","Suitability for age groups, in particular children.","http://hl7.org/fhir/ValueSet/medicinal-product-pediatric-use","",,,,"MedicinalProductDefinition.pediatricUseIndicator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicinalProductDefinition-br","MedicinalProductDefinition.classification","MedicinalProductDefinition.classification","","","",0,*,"Y","","Y","CodeableConcept {[]} {[]}
","Classificação do produto","Classificações aplicáveis ao produto (ATC, terapêutica, etc.)","","","","","","","","","",,"preferred","","http://farmaco.maxapex.net/brig/fhir/ValueSet/product-classification-br","",,,,"MedicinalProductDefinition.classification",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicinalProductDefinition-br","MedicinalProductDefinition.marketingStatus","MedicinalProductDefinition.marketingStatus","","","",1,*,"Y","","Y","MarketingStatus {[]} {[]}
","Status de comercialização","Status atual de comercialização no Brasil","","","","","","","","","",,,,,"",,,,"MedicinalProductDefinition.marketingStatus",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicinalProductDefinition-br","MedicinalProductDefinition.marketingStatus.id","MedicinalProductDefinition.marketingStatus.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"MedicinalProductDefinition-br","MedicinalProductDefinition.marketingStatus.extension","MedicinalProductDefinition.marketingStatus.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicinalProductDefinition-br","MedicinalProductDefinition.marketingStatus.modifierExtension","MedicinalProductDefinition.marketingStatus.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneType.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicinalProductDefinition-br","MedicinalProductDefinition.marketingStatus.country","MedicinalProductDefinition.marketingStatus.country","","","",1,1,"Y","","Y","CodeableConcept {[]} {[]}
","The country in which the marketing authorization has been granted shall be specified It should be specified using the ISO 3166 ‑ 1 alpha-2 code elements","The country in which the marketing authorization has been granted shall be specified It should be specified using the ISO 3166 ‑ 1 alpha-2 code elements.","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""urn:iso:std:iso:3166""/>
    <code value=""BR""/>
  </coding>
</valueCodeableConcept>","","","","",,,,,"",,,,"MarketingStatus.country",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicinalProductDefinition-br","MedicinalProductDefinition.marketingStatus.jurisdiction","MedicinalProductDefinition.marketingStatus.jurisdiction","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Where a Medicines Regulatory Agency has granted a marketing authorization for which specific provisions within a jurisdiction apply, the jurisdiction can be specified using an appropriate controlled terminology The controlled term and the controlled term identifier shall be specified","Where a Medicines Regulatory Agency has granted a marketing authorization for which specific provisions within a jurisdiction apply, the jurisdiction can be specified using an appropriate controlled terminology The controlled term and the controlled term identifier shall be specified.","","","","","","","","","",,,,,"",,,,"MarketingStatus.jurisdiction",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicinalProductDefinition-br","MedicinalProductDefinition.marketingStatus.status","MedicinalProductDefinition.marketingStatus.status","","","",1,1,"Y","","Y","CodeableConcept {[]} {[]}
","This attribute provides information on the status of the marketing of the medicinal product See ISO/TS 20443 for more information and examples","This attribute provides information on the status of the marketing of the medicinal product See ISO/TS 20443 for more information and examples.","","","","","","","","","",,"required","","http://farmaco.maxapex.net/brig/fhir/ValueSet/marketing-status-br","",,,,"MarketingStatus.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicinalProductDefinition-br","MedicinalProductDefinition.marketingStatus.dateRange","MedicinalProductDefinition.marketingStatus.dateRange","","","",1,1,"Y","","Y","Period {[]} {[]}
","The date when the Medicinal Product is placed on the market by the Marketing Authorization Holder (or where applicable, the manufacturer/distributor) in a country and/or jurisdiction shall be provided A complete date consisting of day, month and year shall be specified using the ISO 8601 date format NOTE “Placed on the market” refers to the release of the Medicinal Product into the distribution chain","The date when the Medicinal Product is placed on the market by the Marketing Authorization Holder (or where applicable, the manufacturer/distributor) in a country and/or jurisdiction shall be provided A complete date consisting of day, month and year shall be specified using the ISO 8601 date format NOTE “Placed on the market” refers to the release of the Medicinal Product into the distribution chain.","","","","","","","","","",,,,,"",,,,"MarketingStatus.dateRange",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
